@relation ConsumerPrediction

@attribute EnergyLevel {Level0, Level1, Level2, Level3, Level4, Level5, Level6, Level7, Level8, Level9, Level10, Level11, Level12, Level13, Level14, Level15, Level16, Level17, Level18, Level19, Level20, Level21, Level22, Level23, Level24, Level25, Level26, Level27, Level28, Level29, Level30, Level31, Level32, Level33, Level34, Level35, Level36, Level37, Level38, Level39, Level40, Level41, Level42, Level43, Level44, Level45, Level46, Level47, Level48, Level49}
@attribute LevelDurationMax numeric
@attribute LevelDurationMin numeric
@attribute CurrentPowerConsumption numeric


@DATA
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level0,31,5,0
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
Level1,190,1,2
